FINAL-MP-DATES,FINAL-DATE-RANGE,Latitude,Longitude,BioSample
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041001
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041000
978BC,,37.90072345,140.9145156,SAMD00041001
1126AD,1028-1224AD,-17.6007869,-71.22386299,SAMN02727818
1212AD,1158-1266AD,-17.32185985,-70.98739078,SAMN02727821
851AD,,18.09307279,-65.7891564,SAMN12394113
170AD,80-260AD,52.59014665,16.7788889,SAMN06046901
1250AD,1000-1500AD,-6.847925735,-77.69780162,SAMN02799089
1250AD,1000-1500AD,-6.847925735,-77.69780162,SAMN02799091
1250AD,1000-1500AD,-6.847925735,-77.69780162,SAMN02799091
940BC,975-905BC,29.93805118,31.19546231,SAMEA5847432
53.5AD,26-81AD,29.93805118,31.19546231,SAMEA5847501
1168.5BC,1211-1126BC,29.93805118,31.19546231,SAMEA5847426
281.5BC,357-206BC,29.93805118,31.19546231,SAMEA5847472
104.5BC,156-53BC,29.93805118,31.19546231,SAMEA5847473
1348AD,,43.08738869,2.715802756,SAMEA5054093
1348AD,,43.08738869,2.715802756,SAMEA5054093
20AD,,36.12562575,105.5938385,SAMEA6490841
1627AD,1601-1657AD,56.94893375,24.1003176,SAMEA6502100
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
3824BC,3907-3741BC,-18.46580392,-70.30008587,SAMEA3486783
1465AD,1215-1715AD,-18.46580392,-70.30008587,SAMEA3486793
1002AD,987-1017AD,36.09896944,-107.9712328,SAMN05991104
1002AD,987-1017AD,36.09896944,-107.9712328,SAMN05991104
2990BC,2440-2140BC,58.37202238,26.73280315,SAMEA5764555
1721AD,,43.30079688,5.423747669,SAMEA3713711
1787AD,,47.93572644,19.15816297,SAMEA2810266
1360AD,1300-1420AD,41.4115566,2.152374072,SAMEA3937653
NA,,28.31487276,-16.62569206,SAMEA104281220
956AD,895-1017AD,27.9358783,-15.54426004,SAMEA104281221
956AD,895-1017AD,27.9358783,-15.54426004,SAMEA104281221
956AD,895-1017AD,27.9358783,-15.54426004,SAMEA104281221
956AD,895-1017AD,27.9358783,-15.54426004,SAMEA104281221
956AD,895-1017AD,27.9358783,-15.54426004,SAMEA104281221
956AD,895-1017AD,27.9358783,-15.54426004,SAMEA104281221
956AD,895-1017AD,27.9358783,-15.54426004,SAMEA104281221
935.5AD,879-992AD,27.9358783,-15.54426004,SAMEA104281224
935.5AD,879-992AD,27.9358783,-15.54426004,SAMEA104281224
935.5AD,879-992AD,27.9358783,-15.54426004,SAMEA104281224
935.5AD,879-992AD,27.9358783,-15.54426004,SAMEA104281224
935.5AD,879-992AD,27.9358783,-15.54426004,SAMEA104281224
935.5AD,879-992AD,27.9358783,-15.54426004,SAMEA104281224
935.5AD,879-992AD,27.9358783,-15.54426004,SAMEA104281224
791.5AD,695-888AD,28.31487276,-16.62569206,SAMEA104281219
621AD,582-660AD,28.31487276,-16.62569206,SAMEA104281225
NA,,28.31487276,-16.62569206,SAMEA104281226
NA,,41.9624861,-1.993618239,SAMEA104441581
NA,,17.4994797,-97.4675586,SAMEA104402285
2273BC,2397-2149BC,48.30877743,10.92280518,SAMEA104233049
2273BC,2397-2149BC,48.30877743,10.92280518,SAMEA104233049
2273BC,2397-2149BC,48.30877743,10.92280518,SAMEA104233049
2273BC,2397-2149BC,48.30877743,10.92280518,SAMEA104233049
1879BC,1985-1773BC,27.10710919,31.20524989,SAMEA103957995
1879BC,1985-1773BC,27.10710919,31.20524989,SAMEA103971604
1208AD,1123-1293AD,-54.9331801,-67.61668637,SAMEA104548853
1522.5AD,1415-1630AD,-13.4265069,-76.13424851,SAMEA6661722
1545AD,1450-1640AD,-13.4265069,-76.13424851,SAMEA6661724
1647.5AD,1490-1805AD,-13.4265069,-76.13424851,SAMEA6661726